Distances between estimated and original density matrices using various distances:

Number of purity values tried = 2000
Number of density matrices per purity parameter = 500
Total number of measurements for each of X, Y and Z = 500

PURITY, 	OPERATOR, 	TRACE, 		FIDELITY, 	NON PHYSICAL
0.00000,	0.92939,	1.02358, 	1.24925, 	0.63200
0.00050,	0.92905,	1.02406, 	1.24887, 	0.62000
0.00100,	0.92802,	1.02215, 	1.24736, 	0.59600
0.00150,	0.92727,	1.02164, 	1.24539, 	0.56800
0.00200,	0.92514,	1.01927, 	1.24005, 	0.53200
0.00250,	0.92423,	1.01858, 	1.23900, 	0.50600
0.00300,	0.92153,	1.01553, 	1.23366, 	0.49000
0.00350,	0.92035,	1.01367, 	1.23112, 	0.49200
0.00400,	0.91937,	1.01251, 	1.23065, 	0.45200
0.00450,	0.91862,	1.01163, 	1.22851, 	0.46800
0.00500,	0.91800,	1.01092, 	1.22770, 	0.49400
0.00550,	0.91665,	1.00921, 	1.22517, 	0.45000
0.00600,	0.91532,	1.00785, 	1.22337, 	0.44200
0.00650,	0.91657,	1.01028, 	1.22545, 	0.40400
0.00700,	0.91409,	1.00697, 	1.22109, 	0.39200
0.00750,	0.91275,	1.00456, 	1.21883, 	0.39200
0.00800,	0.91461,	1.00717, 	1.22325, 	0.39400
0.00850,	0.91181,	1.00400, 	1.21722, 	0.34600
0.00900,	0.90799,	0.99993, 	1.20879, 	0.33800
0.00950,	0.90969,	1.00143, 	1.21384, 	0.31800
0.01000,	0.91042,	1.00283, 	1.21525, 	0.32600
0.01050,	0.90473,	0.99530, 	1.20403, 	0.31400
0.01100,	0.90502,	0.99622, 	1.20423, 	0.30400
0.01150,	0.90229,	0.99302, 	1.19887, 	0.27200
0.01200,	0.90340,	0.99447, 	1.20107, 	0.26600
0.01250,	0.90129,	0.99184, 	1.19721, 	0.23800
0.01300,	0.89918,	0.99006, 	1.19308, 	0.23400
0.01350,	0.90029,	0.99186, 	1.19553, 	0.20800
0.01400,	0.89563,	0.98639, 	1.18581, 	0.19400
0.01450,	0.89789,	0.98801, 	1.19149, 	0.22400
0.01500,	0.89545,	0.98542, 	1.18619, 	0.18800
0.01550,	0.89570,	0.98615, 	1.18696, 	0.18000
0.01600,	0.89712,	0.98664, 	1.19036, 	0.21200
0.01650,	0.89559,	0.98502, 	1.18775, 	0.18600
0.01700,	0.88989,	0.97998, 	1.17518, 	0.14000
0.01750,	0.89091,	0.98096, 	1.17800, 	0.16400
0.01800,	0.88873,	0.97840, 	1.17309, 	0.13000
0.01850,	0.88759,	0.97626, 	1.17147, 	0.13600
0.01900,	0.88676,	0.97516, 	1.17036, 	0.12600
0.01950,	0.88677,	0.97504, 	1.17107, 	0.14200
0.02000,	0.88637,	0.97428, 	1.17015, 	0.13000
0.02050,	0.88428,	0.97299, 	1.16520, 	0.10800
0.02100,	0.88317,	0.97125, 	1.16353, 	0.09600
0.02150,	0.88242,	0.97115, 	1.16121, 	0.07800
0.02200,	0.88053,	0.96855, 	1.15843, 	0.08200
0.02250,	0.87962,	0.96750, 	1.15731, 	0.08200
0.02300,	0.88033,	0.96835, 	1.15828, 	0.08600
0.02350,	0.87566,	0.96290, 	1.15032, 	0.09400
0.02400,	0.87516,	0.96261, 	1.14822, 	0.08800
0.02450,	0.87330,	0.96088, 	1.14461, 	0.06600
0.02500,	0.87519,	0.96289, 	1.14869, 	0.07200
0.02550,	0.87500,	0.96161, 	1.14926, 	0.08400
0.02600,	0.87183,	0.95939, 	1.14232, 	0.06200
0.02650,	0.87171,	0.95854, 	1.14235, 	0.05000
0.02700,	0.86920,	0.95549, 	1.13867, 	0.06000
0.02750,	0.87014,	0.95658, 	1.14067, 	0.05600
0.02800,	0.86845,	0.95498, 	1.13608, 	0.04200
0.02850,	0.86575,	0.95184, 	1.13162, 	0.04200
0.02900,	0.86703,	0.95238, 	1.13507, 	0.04800
0.02950,	0.86689,	0.95238, 	1.13376, 	0.05000
0.03000,	0.86284,	0.94843, 	1.12637, 	0.04400
0.03050,	0.86165,	0.94682, 	1.12456, 	0.04600
0.03100,	0.86322,	0.94892, 	1.12778, 	0.02400
0.03150,	0.85860,	0.94374, 	1.11947, 	0.03800
0.03200,	0.85863,	0.94366, 	1.11889, 	0.02600
0.03250,	0.85821,	0.94338, 	1.11811, 	0.02400
0.03300,	0.85788,	0.94304, 	1.11782, 	0.02200
0.03350,	0.85655,	0.94126, 	1.11559, 	0.02600
0.03400,	0.85523,	0.94012, 	1.11293, 	0.02000
0.03450,	0.85349,	0.93719, 	1.11018, 	0.02200
0.03500,	0.85523,	0.94001, 	1.11339, 	0.02400
0.03550,	0.84941,	0.93324, 	1.10330, 	0.00800
0.03600,	0.84959,	0.93373, 	1.10336, 	0.02000
0.03650,	0.84825,	0.93216, 	1.10184, 	0.02800
0.03700,	0.84837,	0.93181, 	1.10198, 	0.01600
0.03750,	0.84753,	0.93083, 	1.09991, 	0.00400
0.03800,	0.84725,	0.93084, 	1.09956, 	0.01400
0.03850,	0.84378,	0.92644, 	1.09432, 	0.01200
0.03900,	0.84516,	0.92782, 	1.09696, 	0.00800
0.03950,	0.84492,	0.92746, 	1.09676, 	0.01800
0.04000,	0.84235,	0.92501, 	1.09256, 	0.01600
0.04050,	0.83858,	0.92117, 	1.08530, 	0.00800
0.04100,	0.83755,	0.92042, 	1.08348, 	0.00400
0.04150,	0.83811,	0.92026, 	1.08546, 	0.00800
0.04200,	0.83613,	0.91822, 	1.08168, 	0.00800
0.04250,	0.83725,	0.91873, 	1.08452, 	0.00800
